Order #,Item Name,Recipient,Quantity,Order Total,Shipping Paid,Shipping Cost,Refund amount
1234-567890-0001,828PS01,John Doe,1,45,18,,
,,,,,,,
1234-567890-0002,828PS02,John Doe,1,6,5,,
1234-567890-0003,828PS03,John Doe,1,100,,,
1234-567890-0004,828PS04,Jane Doe,1,100,18,16.78,6.22
1234-567890-0005,828PS05,Jane Doe,1,45,5,,
1234-567890-0006,828PS06,Captain America,1,18,18,14.55,3.45
1234-567890-0007,828PS07,Ozzy Osbourne,1,100,18,35.89,25.11
1234-567890-0008,828PS08,Ozzy Osbourne,1,100,5,,
1234-567890-0009,828PS09,Ozzy Osbourne,1,200,5,,
1234-567890-0010,828PS10,Ozzy Osbourne,1,30,5,,
1234-567890-0011,829PS11,Ozzy Osbourne,1,500,18,,
1234-567890-0012,829PS12,Ozzy Osbourne,1,15,5,,
1234-567890-0013,829PS13,Ozzy Osbourne,1,45,5,,
1234-567890-0014,828PS14,Breaking Benjamin,1,200,18,25.31,
1234-567890-0015,828PS15,Breaking Benjamin,1,65,5,,
1234-567890-0016,828PS16,Avenged Sevenfold,1,100,18,66.44,
1234-567890-0017,828PS17,Avenged Sevenfold,1,100,5,,
1234-567890-0018,828PS18,Avenged Sevenfold,1,200,5,,
1234-567890-0019,828PS19,Avenged Sevenfold,1,30,5,,
1234-567890-0020,828PS20,Avenged Sevenfold,1,500,5,,
1234-567890-0021,829PS21,Avenged Sevenfold,1,15,18,,
1234-567890-0022,828PS22,Nothing More,1,200,18,20.05,
1234-567890-0023,828PS23,Nothing More,1,65,5,,
1234-567890-0024,829PS24,Nothing More,1,100,18,,
1234-567890-0025,828PS25,Nothing More,1,100,5,,
1234-567890-0026,828PS26,Nothing More,1,200,5,,
1234-567890-0027,828PS27,Nothing More,1,30,5,,
1234-567890-0028,828PS28,Nothing More,1,500,5,,
1234-567890-0029,828PS29,Pink Floyd,1,200,18,17.77,
1234-567890-0030,828PS30,Led Zepplin,1,300,18,12.54,
1234-567890-0031,828PS31,Betty White,1,500,18,43.21,
1234-567890-0032,828PS32,Betty White,1,45,5,,
1234-567890-0033,828PS33,Betty White,1,6,5,,
1234-567890-0034,828PS34,Betty White,1,100,5,,
1234-567890-0035,828PS35,Betty White,1,100,5,,
1234-567890-0036,828PS36,Betty White,1,45,5,,
1234-567890-0037,828PS37,Betty White,1,18,5,,
1234-567890-0038,828PS38,Betty White,1,100,5,,
1234-567890-0039,828PS39,Micah Parsons,1,100,18,16.68,
1234-567890-0040,828PS40,Rosetta Tharpe,1,15,18,17.89,
1234-567890-0041,828PS41,Rosetta Tharpe,1,200,5,,
1234-567890-0042,829PS42,Rosetta Tharpe,1,65,18,,
1234-567890-0043,829PS43,Rosetta Tharpe,1,100,5,,
1234-567890-0044,829PS44,Rosetta Tharpe,1,100,5,,
1234-567890-0045,829PS45,Rosetta Tharpe,1,200,5,,
1234-567890-0046,830PS46,Rosetta Tharpe,1,30,18,,
1234-567890-0047,830PS47,Rosetta Tharpe,1,500,5,,
1234-567890-0048,830PS48,Rosetta Tharpe,1,200,5,,
1234-567890-0049,830PS49,Rosetta Tharpe,1,300,5,,
1234-567890-0050,830PS50,Rosetta Tharpe,1,500,5,,
